claim,evidence,source_title,source_url,confidence,limitations,evidence_status
A ballot measure was submitted in November 2025 to increase penalties for fentanyl-related offenses in Colorado's 2026 general election.,"A coalition submitted over 200,000 signatures to place the measure on the 2026 ballot to increase penalties for fentanyl manufacturing, distribution, and possession.",GOP-backed ballot measure would make any fentanyl possession a felony in Colorado,https://www.cpr.org/2025/11/20/fentanyl-penalties-ballot-measure-signature/?utm_source=openai,high,Information based on media reports from 2025; ballot outcomes and future legislative changes unknown.,strong
The measure proposes making possession of any amount of fentanyl a felony and manufacturing/distributing fentanyl a Class 1 felony with up to 32 years imprisonment.,"Measure classifies the sale of fentanyl as Class 1 felony with prison up to 32 years, and possession of any amount as felony.",Colorado ballot measure for tougher fentanyl penalties moves forward - Colorado Politics,https://www.coloradopolitics.com/2025/11/20/colorado-ballot-measure-for-tougher-fentanyl-penalties-moves-forward/?utm_source=openai,high,Details subject to final wording and legal interpretation; based on media summaries.,strong
Individuals convicted of possessing up to 1 gram of fentanyl may be eligible for court-ordered substance use treatment instead of incarceration.,The proposed measure includes provisions allowing court-ordered substance use treatment for possession up to 1 gram.,Colorado ballot measure for tougher fentanyl penalties moves forward - Colorado Politics,https://www.coloradopolitics.com/2025/11/20/colorado-ballot-measure-for-tougher-fentanyl-penalties-moves-forward/?utm_source=openai,high,Eligibility criteria and program capacity not detailed; treatment funding unclear.,strong
"In 2023, nearly 1,100 Coloradans died from fentanyl overdoses, indicating a growing crisis.","Reported overdose deaths in 2023 related to fentanyl approached 1,100, showing a sharp increase.",Colorado ballot measure for tougher fentanyl penalties moves forward - Colorado Politics,https://www.coloradopolitics.com/2025/11/20/colorado-ballot-measure-for-tougher-fentanyl-penalties-moves-forward/?utm_source=openai,high,Based on state data from 2023; future trends and causes not analyzed in detail.,strong
Opponents argue that the measure's harsh penalties may disproportionately affect individuals with addiction and advocate for treatment-focused approaches.,Some Democrats and advocacy groups believe punitive measures could worsen outcomes and prefer harm reduction and treatment.,GOP-backed ballot measure would make any fentanyl possession a felony in Colorado,https://www.cpr.org/2025/11/20/fentanyl-penalties-ballot-measure-signature/?utm_source=openai,high,Positions are advocacy-based; empirical impacts of policies are debated.,strong
"The measure could increase the prison population by nearly 900 annually and cost the state approximately $856,770 in the first year.",Legislative estimates project increased incarceration and state expenditures due to the ballot measure.,Fiscal Impact Statement for Initiative 85,https://leg.colorado.gov/sites/default/files/initiatives/2026%252385FIS_00.pdf?utm_source=openai,high,Estimates based on projections; actual costs may vary due to changes in enforcement or policy adaptation.,strong
Previous legislative attempts to elevate penalties for synthetic opiates possession did not pass (House Bill 24-1306 in 2024).,House Bill 24-1306 aimed to increase penalties but failed in the Colorado General Assembly in 2024.,Colorado General Assembly - House Bill 24-1306,https://www.leg.colorado.gov/bills/hb24-1306?utm_source=openai,high,Details on legislative debates and reasons for failure are limited.,strong
"Research indicates that harsher penalties and increased incarceration do not effectively reduce drug use or overdose deaths, and may deter overdose assistance.",Studies and advocacy groups report that punitive measures alone do not reduce usage or fatalities and may have negative public health effects.,Criminal Justice and Drug Policy Reports - CCJRC,https://www.ccjrc.org/fentanylballotmeasure?utm_source=openai,medium,General research status cited; link between this specific measure and outcomes needs further study.,limited
"The measure does not allocate new funding for substance use treatment, potentially worsening Colorado's already limited treatment access.","Critics highlight the lack of increased funding and the state's low ranking in treatment access, risking increased waitlists.",Criminal Justice and Drug Policy Reports - CCJRC,https://www.ccjrc.org/fentanylballotmeasure?utm_source=openai,high,Budget and treatment capacity details are not exhaustively analyzed in the research.,strong
Supporters argue that stricter penalties are needed to hold drug dealers accountable and address the fentanyl overdose crisis.,Advocates emphasize that current legislative efforts have been insufficient and tougher laws aim to curb fentanyl proliferation.,Colorado ballot measure for tougher fentanyl penalties moves forward - Colorado Politics,https://www.coloradopolitics.com/2025/11/20/colorado-ballot-measure-for-tougher-fentanyl-penalties-moves-forward/?utm_source=openai,high,Supporter statements reflect opinions; effectiveness of strict penalties in practice is debated.,strong
